127.0.0.1 - - [10/Feb/2018:13:34:12 -0600] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/Feb/2018:13:34:13 -0600] "GET /Assignment2/ HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [10/Feb/2018:13:34:14 -0600] "GET /Assignment2/stylesheet.css HTTP/1.1" 200 2724
0:0:0:0:0:0:0:1 - - [10/Feb/2018:13:34:14 -0600] "GET /Assignment2/css/bootstrap.min.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Feb/2018:13:34:14 -0600] "GET /Assignment2/js/bootstrap.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [10/Feb/2018:13:34:14 -0600] "GET /Assignment2/js/bootstrap.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [10/Feb/2018:13:34:26 -0600] "GET /Assignment2/ HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [10/Feb/2018:13:34:26 -0600] "GET /Assignment2/stylesheet.css HTTP/1.1" 200 2724
0:0:0:0:0:0:0:1 - - [10/Feb/2018:13:34:26 -0600] "GET /Assignment2/css/bootstrap.min.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [10/Feb/2018:13:34:26 -0600] "GET /Assignment2/js/bootstrap.min.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [10/Feb/2018:13:34:27 -0600] "GET /Assignment2/js/bootstrap.min.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [10/Feb/2018:13:34:27 -0600] "GET /favicon.ico HTTP/1.1" 404 1005
